disp.ratio_mean_10,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_level.qda_mda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,ic.eps.ratio,ic.m0,nbc.nb_fitness.cor,nbc.nn_nb.cor,pca.expl_var.cor_init,pca.expl_var.cov_init,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x,fold_number,disp.ratio_median_02,ela_level.mmce_lda_10,ela_level.mmce_mda_50,ela_level.mmce_qda_10,nbc.nn_nb.mean_ratio,ela_level.lda_qda_10,ela_meta.lin_simple.adj_r2,ic.eps.s,pca.expl_var_PC1.cov_init,ela_level.mmce_qda_50,ela_meta.lin_simple.intercept,disp.diff_median_25,ic.h.max,disp.ratio_median_10,ela_level.mmce_qda_25,ela_distr.kurtosis
0.0,0.0,0.2318840579710145,0.0,0.0,0.0,0.0,0.10144927536231885,0.0,0.0,0.2318840579710145,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2318840579710145,0.0,0.0,0.0,0.0,0.0,11,,,,,,0.0,,0.2028985507246377,,,,,,,,
,0.0,0.2318840579710145,0.0,0.0,0.0,0.0,0.10144927536231885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028985507246377,0.0,0.2318840579710145,0.0,0.0,0.0,0.0,0.0,12,0.2318840579710145,,,,,,,,,,,,,,,
,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,0.0,,0.0,13,0.0,,,0.0,,,0.0,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,14,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,
,0.03431372549019608,0.14705882352941177,0.07352941176470588,0.03431372549019608,0.03431372549019608,0.03431372549019608,0.06862745098039216,0.0,0.0,,0.0,0.07352941176470588,0.03431372549019608,0.03431372549019608,,0.0,0.03431372549019608,0.07352941176470588,0.0,0.10784313725490197,0.0,0.07352941176470588,0.0,0.0,0.03431372549019608,15,0.07352941176470588,0.0,,,,,,,,,0.03431372549019608,,,,,
,0.0,0.1839080459770115,0.0,0.0,0.0,0.0,0.08045977011494253,0.0,0.0,0.367816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1839080459770115,0.0,0.1839080459770115,0.0,0.0,0.0,16,,,,,,,,,,,,0.0,,,,
0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.22857142857142856,,0.22857142857142856,0.0,0.22857142857142856,0.0,0.0,0.0,17,,,0.0,,,0.0,,,,,,,,,,
0.0,0.10714285714285714,0.0,0.0,0.10714285714285714,0.0,0.0,0.10714285714285714,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,18,,,0.0,,,,,,,,,,,,,
,0.0,0.1910828025477707,0.0,0.0,0.0,0.0,0.044585987261146494,0.0,0.09554140127388536,0.0,0.0,0.0,0.0,0.0,,0.1910828025477707,0.0,0.09554140127388536,,0.0,0.0,0.09554140127388536,0.0,0.1910828025477707,0.0,19,0.09554140127388536,,0.0,,,,,,,,0.0,,,,,
,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.21052631578947367,0.0,0.21052631578947367,0.0,0.0,0.21052631578947367,20,0.0,,0.0,,,0.0,,0.2894736842105263,,,,,,,,
0.0,0.0,0.13392857142857142,0.0,0.0,0.0,,0.19642857142857142,0.13392857142857142,0.13392857142857142,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.13392857142857142,0.0,,0.13392857142857142,21,,0.13392857142857142,,,,,0.0,0.0,,,,,,,,
0.0,0.011560693641618497,0.10404624277456648,0.09248554913294797,0.011560693641618497,0.011560693641618497,0.011560693641618497,0.011560693641618497,0.0,0.09248554913294797,0.09248554913294797,,0.0,0.011560693641618497,0.0,0.0,0.011560693641618497,0.0,,,0.10404624277456648,0.0,0.011560693641618497,0.0,0.09248554913294797,0.10404624277456648,22,,,,0.09248554913294797,,0.0,,0.12138728323699421,,0.0,,,0.011560693641618497,,,
,0.3013698630136986,0.2054794520547945,0.0,0.0,0.0,0.0,0.0958904109589041,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1917808219178082,,0.0,0.0,0.0,0.2054794520547945,,0.0,23,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
,0.0,0.0,0.0,0.0,0.0,0.0,0.2413793103448276,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7586206896551724,,0.0,0.0,0.0,0.0,0.0,0.0,24,,,,,,0.0,,,,,,,,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,25,,,0.0,0.0,,0.0,,1.0,,,,,,,,
,0.0,0.12605042016806722,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.12605042016806722,0.0,,0.12605042016806722,0.0,0.0,0.0,0.12605042016806722,0.0,0.18487394957983194,,0.12605042016806722,0.0,0.0,0.0,0.0,0.0,26,0.0,,0.0,,,0.12605042016806722,,,,,,,,,,
0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.13725490196078433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27450980392156865,,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,27,,,0.0,0.0,,,,,,,,,,,,
,0.0,0.0,0.12264150943396226,0.0660377358490566,0.0,0.0660377358490566,0.1320754716981132,0.0,,0.0,,0.0,0.0,0.0660377358490566,0.05660377358490566,0.0,0.0660377358490566,0.12264150943396226,,0.0,0.0,0.12264150943396226,0.12264150943396226,0.0,0.0,28,0.05660377358490566,,,0.0,,0.0,,,,,,,,,,0.0
0.0,0.0,0.6818181818181818,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,29,,,,0.0,,,0.0,,,0.0,,,,,,
0.07177033492822966,0.0,0.07177033492822966,0.0,0.0,0.0,0.0,0.10526315789473684,0.07177033492822966,0.0,,,0.0,0.07177033492822966,0.03349282296650718,,0.07177033492822966,0.0,0.07177033492822966,,0.07177033492822966,0.0,0.07177033492822966,0.07177033492822966,,0.0,30,,0.0,,0.0,,0.0,0.07177033492822966,,,0.07177033492822966,0.07177033492822966,,,,,
