feature_name,feature_importance,rank,fold_number
ela_meta.quad_simple.cond,0.019460643405125135,14,9
ela_level.mmce_qda_10,0.014667640846832782,15,9
ela_level.lda_mda_50,0.012532993423438351,16,9
ela_level.mmce_lda_25,0.011275804824166898,17,9
ela_meta.lin_simple.adj_r2,0.011144743876586805,18,9
ela_level.mmce_lda_10,0.010249578540018072,19,9
pca.expl_var.cor_init,0.01015669492676319,20,9
ela_level.lda_mda_25,0.0096910926621042,21,9
nbc.nb_fitness.cor,0.009577093265840098,22,9
ela_level.mmce_lda_50,0.00940096031248686,23,9
ela_meta.quad_w_interact.adj_r2,0.006476420460946675,24,9
ela_level.qda_mda_25,0.006040531216342625,25,9
ela_level.qda_mda_50,0.002887456199990626,26,9
ela_meta.lin_simple.intercept,0.37107005869584914,1,10
ic.eps.s,0.3077036691858728,2,10
disp.ratio_mean_10,0.10554098310706492,3,10
ela_distr.skewness,0.06572627359691814,4,10
pca.expl_var_PC1.cov_init,0.06411915589871695,5,10
ela_level.lda_qda_25,0.04991158259807788,6,10
ela_level.lda_qda_10,0.044915962090081245,7,10
ela_distr.number_of_peaks,0.04381116493156935,8,10
ela_level.mmce_mda_50,0.02801000889928702,9,10
ela_level.lda_mda_10,0.026401493151149744,10,10
ela_level.lda_qda_50,0.023582729837186248,11,10
ela_meta.quad_simple.cond,0.019052501294244625,12,10
ela_level.lda_mda_50,0.019006039789667344,13,10
ela_level.mmce_qda_10,0.01578402494049391,14,10
ela_meta.lin_simple.coef.max_by_min,0.015534094784625481,15,10
ela_level.qda_mda_25,0.014564752475039576,16,10
ela_meta.lin_simple.adj_r2,0.014294403121666471,17,10
nbc.nn_nb.cor,0.01159588974263126,18,10
ela_meta.quad_w_interact.adj_r2,0.009772471486352735,19,10
ela_level.mmce_lda_25,0.009454520670599334,20,10
ela_level.mmce_lda_50,0.008465357782254651,21,10
pca.expl_var_PC1.cor_x,0.007660277805121446,22,10
ela_level.lda_mda_25,0.007398791844185434,23,10
ela_level.qda_mda_50,0.006825118465145077,24,10
nbc.nb_fitness.cor,0.00558615372193644,25,10
ela_level.mmce_lda_10,0.002913980972735542,26,10
pca.expl_var.cor_init,0.00221820713414931,27,10
ela_meta.lin_simple.intercept,0.40105658390382426,1,11
ic.eps.s,0.3005280710567558,2,11
pca.expl_var_PC1.cov_init,0.07721826798885338,3,11
disp.ratio_mean_10,0.07257718171252527,4,11
ela_level.lda_qda_25,0.058110335579310085,5,11
ela_distr.skewness,0.0527927613098215,6,11
ela_distr.number_of_peaks,0.04944380654250748,7,11
ela_level.lda_qda_10,0.03942603884558585,8,11
ela_level.lda_mda_10,0.03026374272665211,9,11
ela_level.mmce_mda_50,0.024692960972470333,10,11
ela_level.mmce_qda_10,0.024135342193044595,11,11
ela_level.lda_mda_50,0.023150931364738184,12,11
ela_meta.lin_simple.coef.max_by_min,0.023022239281111145,13,11
ela_level.lda_qda_50,0.019436306101425587,14,11
pca.expl_var.cor_init,0.017812677007825715,15,11
pca.expl_var_PC1.cor_x,0.017092347964623444,16,11
ela_meta.quad_simple.cond,0.016807574746973558,17,11
ela_level.qda_mda_25,0.014639105745334946,18,11
ela_meta.lin_simple.adj_r2,0.011965073922861533,19,11
nbc.nb_fitness.cor,0.011556026588581524,20,11
ela_level.lda_mda_25,0.011271689081000158,21,11
ela_level.mmce_lda_50,0.01104403506121376,22,11
ela_level.qda_mda_50,0.008228434188617476,23,11
ela_level.mmce_lda_25,0.007802898886676836,24,11
ela_meta.quad_w_interact.adj_r2,0.006203768386682743,25,11
ela_level.mmce_lda_10,0.0056033674051500755,26,11
ela_meta.lin_simple.intercept,0.3411035688431012,1,12
ic.eps.s,0.2754835439146426,2,12
disp.diff_mean_10,0.15611952742320018,3,12
pca.expl_var_PC1.cov_init,0.06447084243090682,4,12
ela_level.lda_qda_25,0.06164297571496727,5,12
ela_distr.number_of_peaks,0.038252449548818956,6,12
